Element name;Number of rate
value-of;100500
text;74029
apply-templates;61755
when;60017
template;59280
with-param;48814
if;43182
call-template;42809
attribute;39846
variable;35906
choose;26843
for-each;26361
param;25205
otherwise;23962
copy-of;8364
element;7784
output-character;6678
stylesheet;5447
output;3565
message;2170
attribute-set;2106
include;1979
number;1838
sort;1825
copy;1476
import;1087
comment;895
key;555
strip-space;357
function;342
apply-imports;215
transform;188
eval;183
processing-instruction;172
result-document;150
sequence;131
preserve-space;98
character-map;89
decimal-format;80
for-each-group;79
namespace;52
namespace-alias;49
matching-substring;40
analyze-string;40
document;38
next-match;37
script;13
node-name;13
non-matching-substring;12
entity-ref;10
fallback;6
loop;3
import-schema;3
perform-sort;1
elsif;1
else;1
;
